circRNA	pig-liver-young-1	pig-liver-old1	pig-testis-5	cow-liver-K001	cow-testis-adult2	cow-testis-neonat1	cow-liver-K006	pig-testis-54	cow-liver-B004	cow-liver-K013	pig-testis-31	cow-liver-B028	cow-liver-K018	pig-liver-old2	cow-testis-neonat3	cow-liver-B005	cow-liver-B022	cow-liver-K024	cow-liver-B008	cow-liver-K011	cow-testis-adult1	pig-liver-young-2	cow-liver-B027	cow-testis-neonat2	cow-testis-adult3
10:100961026-101090112:-	0	0	0	6	0	15	7	0	12	44	0	7	17	0	19	20	11	34	13	20	0	0	12	14	0
10:101089555-101090112:-	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:102249593-102267488:-	0	0	0	0	0	11	0	0	0	6	0	10	7	0	9	0	0	0	0	8	0	0	0	0	0
10:1024544-1031793:-	0	0	0	0	14	45	6	0	10	22	0	11	15	0	33	0	8	6	12	12	0	0	15	51	15
10:102521000-102562399:-	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6
10:102559386-102562399:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
10:10348947-10365595:+	0	0	0	0	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
10:10431476-10499191:-	0	0	0	0	12	79	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	28	8
10:10480143-10499191:-	0	0	0	16	67	187	19	0	26	15	0	25	30	0	138	16	19	29	9	22	70	0	23	119	72
10:10488329-10499191:-	0	0	0	0	0	26	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	9	7
10:10618644-10622737:+	0	0	0	11	56	133	26	0	33	34	0	22	41	0	149	23	20	38	25	33	56	0	24	170	67
10:11137610-11139918:-	0	0	0	0	0	47	0	0	0	11	0	10	0	0	35	10	11	9	11	0	0	0	9	31	0
10:12387507-12391944:-	0	0	0	7	7	11	0	0	0	9	0	9	13	0	11	0	6	11	0	8	0	0	0	8	0
10:12567235-12567656:-	0	0	0	0	0	16	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:12585386-12586531:-	0	0	0	0	0	0	0	0	52	50	0	88	0	0	0	64	62	0	0	0	0	0	0	0	0
10:14066623-14082877:-	0	0	0	6	0	29	0	0	0	7	0	16	0	0	14	0	14	0	0	9	0	0	0	44	0
10:14987668-15007316:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:19433313-19441358:+	0	0	0	0	0	6	6	0	6	0	0	10	7	0	7	0	0	13	8	0	0	0	9	7	0
10:19440704-19451131:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
10:19557374-19570026:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
10:19961627-19988973:+	0	0	0	0	0	48	0	0	6	0	0	0	0	0	32	0	0	0	0	0	0	0	0	30	6
10:25905504-25908959:+	0	0	0	56	35	47	38	0	53	63	0	65	59	0	52	27	60	44	38	65	17	0	73	43	13
10:28372920-28375129:+	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	12
10:3304808-3305227:+	0	0	0	54	0	19	81	0	65	73	0	80	83	0	11	84	105	114	86	65	0	0	48	36	0
10:35246788-35247299:-	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:35604282-35615353:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
10:37102049-37104067:+	0	0	0	0	9	20	0	0	0	0	0	0	0	0	20	0	0	0	0	0	7	0	0	21	0
10:37102049-37118951:+	0	0	0	0	0	20	0	0	0	0	0	0	0	0	28	0	0	0	0	0	10	0	0	19	0
10:37849994-37852008:+	0	0	0	0	0	10	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	10	0
10:38078482-38094204:-	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:4072826-4094248:-	0	0	0	0	0	14	0	0	8	0	0	0	0	0	8	7	0	0	0	6	0	0	0	9	0
10:43101511-43132803:-	0	0	0	0	0	7	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:43537611-43541372:-	0	0	0	0	0	11	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	14	0
10:45555428-45556302:-	0	0	0	0	20	9	0	0	0	0	0	0	0	0	14	6	0	0	0	0	6	0	0	11	13
10:45778335-45781795:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
10:46455046-46485029:-	0	0	0	12	0	39	15	0	9	15	0	19	0	0	25	15	12	12	16	13	6	0	16	25	0
10:51281140-51282039:-	0	0	0	80	172	321	68	0	108	157	0	88	82	0	291	55	109	90	88	104	162	0	94	290	156
10:52274562-52296744:+	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
10:52294319-52296744:+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
10:52853409-52876188:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
10:54013955-54053191:-	0	0	0	0	12	11	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
10:54013955-54082768:-	0	0	0	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8
10:54049152-54053191:-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:54049152-54056729:-	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
10:54049152-54082768:-	0	0	0	0	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
10:57922424-57929144:+	0	0	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
10:58777685-58785341:+	0	0	0	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
10:60966408-60976432:-	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
10:61029107-61045205:-	0	0	0	0	6	6	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
10:62216920-62219793:+	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10:65685204-65722043:-	0	0	0	0	40	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	18
10:65693794-65722043:-	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	23
10:65705315-65722043:-	0	0	0	0	298	22	0	0	0	0	0	0	8	0	25	0	0	0	0	0	79	0	10	20	176
10:67199993-67200512:+	0	0	0	7	20	80	15	0	15	15	0	18	19	0	120	12	13	15	15	11	11	0	12	69	12
10:68035837-68041178:+	0	0	0	0	0	12	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0
10:68035837-68044000:+	0	0	0	0	7	15	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
